Num_ID	Taxon	Taxon1	Wi_Do	Tax_Wido	SNames	Order	PGeno	Isolate	LsMeans
3184	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_19	0.409941497
3274	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_20	0.394675654
3364	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_21	0.384541295
3454	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_04_25	0.396666489
3544	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_05_04	0.245849508
3634	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_05_11	0.545837223
3724	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_05_14	0.405918063
3814	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_05_16	0.52254857
3904	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_05_17	0.268136028
3994	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_05_22	0.25691217
4084	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	01_05_24	0.459305474
4174	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_03	0.640316998
4264	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_04	0.611594573
4354	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_08	0.616525206
4444	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_09	0.701206899
4534	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_11	0.675385846
4624	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_12	0.613954286
4714	Brapa	R2	Dom	Brapa_Dom	Bra_D1	Brassica	PI.347594	02_04_14	0.523155421
