"IsolateID" "emmean" "SE" "df" "lower.CL" "upper.CL" "Geno"
"28" "01_04_01" 0.377751025078062 0.102373809718884 368.826702978186 0.176441453527272 0.579060596628851 "CL0J173.6.8"
"29" "01_04_02" 0.143505574616246 0.0845227970711426 377.632118574051 -0.022688709569145 0.309699858801637 "CL0J173.6.8"
"30" "01_04_03" 0.563842659601036 0.102692313776263 370.504275218303 0.361909786333444 0.765775532868628 "CL0J173.6.8"
"31" "01_04_04" 0.478905639136691 0.091939891650827 372.897361352596 0.298119995519613 0.659691282753769 "CL0J173.6.8"
"32" "01_04_05" 0.33674216052286 0.0917000014837551 371.653287027176 0.156426258685298 0.517058062360423 "CL0J173.6.8"
"33" "01_04_12" 0.183874324929563 0.0925112381888503 375.86297692097 0.00196988952206728 0.365778760337058 "CL0J173.6.8"
"34" "01_04_15" 0.292680723017459 0.117882079331973 364.787758066167 0.0608669811350851 0.524494464899832 "CL0J173.6.8"
"35" "01_04_17" 0.598996424466138 0.0920742062663518 373.436735943215 0.41794752328008 0.780045325652195 "CL0J173.6.8"
"36" "01_04_19" 0.473378270114383 0.0925428945351577 376.12538440112 0.291411999056683 0.655344541172083 "CL0J173.6.8"
"37" "01_04_20" 0.360263499004736 0.118269140111887 366.841096770323 0.127692939745144 0.592834058264329 "CL0J173.6.8"
"38" "01_04_21" 0.192267851891293 0.0840757620331915 375.318643211788 0.0269492811554175 0.357586422627169 "CL0J173.6.8"
"39" "01_04_25" 0.203769362164703 0.0850391570531367 379.595487458509 0.0365625575321687 0.370976166797237 "CL0J173.6.8"
"40" "01_05_04" 0.170209319422597 0.0846066718301625 377.773485941741 0.00385031531782037 0.336568323527374 "CL0J173.6.8"
"41" "01_05_11" 0.30602891766025 0.102448867239586 369.307670716665 0.104572615475807 0.507485219844693 "CL0J173.6.8"
"42" "01_05_14" 0.313362293152568 0.0923104193619013 374.893384325499 0.131851210483282 0.494873375821854 "CL0J173.6.8"
"43" "01_05_16" 0.505638922371597 0.118379986113507 367.460072270277 0.272851687704752 0.738426157038443 "CL0J173.6.8"
"44" "01_05_17" 0.235013295919344 0.102405895682852 369.040873636394 0.0336410147213457 0.436385577117341 "CL0J173.6.8"
"45" "01_05_22" 0.343185467155539 0.0919604159887621 372.933427389862 0.162359522527197 0.52401141178388 "CL0J173.6.8"
"46" "01_05_24" 0.498179898848264 0.102780767903856 371.110550724257 0.296074172524139 0.700285625172389 "CL0J173.6.8"
"47" "02_04_03" 0.442584576180816 0.0921977637945209 374.261792636245 0.261294018674827 0.623875133686806 "CL0J173.6.8"
"48" "02_04_04" 0.53252906950013 0.0933057515604445 380.594769711297 0.349069753822879 0.715988385177381 "CL0J173.6.8"
"49" "02_04_08" 0.407648273780842 0.0925781463503285 376.09266862561 0.225612636276905 0.589683911284779 "CL0J173.6.8"
"50" "02_04_09" 0.509892205672403 0.091838682197692 372.353947227021 0.329304716740182 0.690479694604624 "CL0J173.6.8"
